ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV67,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV67,f_o_Rhizobiales_ASV67_ASV67,g_f_o_Rhizobiales_ASV67_ASV67_ASV67
ASV68,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV68,f_o_Rhizobiales_ASV68_ASV68,g_f_o_Rhizobiales_ASV68_ASV68_ASV68
ASV69,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV69,g_f_Bradyrhizobiaceae_ASV69_ASV69
ASV70,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV70,g_f_Beijerinckiaceae_ASV70_ASV70
ASV71,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV71,g_f_Beijerinckiaceae_ASV71_ASV71
ASV72,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV72,g_f_Beijerinckiaceae_ASV72_ASV72
ASV73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,f_Bradyrhizobiaceae_ASV73,g_f_Bradyrhizobiaceae_ASV73_ASV73
ASV74,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,f_Methylobacteriaceae_ASV74,g_f_Methylobacteriaceae_ASV74_ASV74
ASV75,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV75,g_f_Beijerinckiaceae_ASV75_ASV75
ASV76,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV76,g_f_Beijerinckiaceae_ASV76_ASV76
ASV77,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV77,g_f_Beijerinckiaceae_ASV77_ASV77
ASV78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV78,g_f_Beijerinckiaceae_ASV78_ASV78
ASV79,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV79,g_f_Beijerinckiaceae_ASV79_ASV79
ASV80,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV80,g_f_Beijerinckiaceae_ASV80_ASV80
ASV81,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV81,g_f_Beijerinckiaceae_ASV81_ASV81
ASV82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV82,g_f_Beijerinckiaceae_ASV82_ASV82
ASV83,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV83,g_f_Beijerinckiaceae_ASV83_ASV83
ASV84,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV84,g_f_Beijerinckiaceae_ASV84_ASV84
ASV85,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV85,g_f_Beijerinckiaceae_ASV85_ASV85
ASV86,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV86,g_f_Beijerinckiaceae_ASV86_ASV86
ASV87,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV87,g_f_Beijerinckiaceae_ASV87_ASV87
ASV88,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV88,g_f_Beijerinckiaceae_ASV88_ASV88
ASV89,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV89,g_f_Beijerinckiaceae_ASV89_ASV89
ASV90,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV90,g_f_Beijerinckiaceae_ASV90_ASV90
ASV91,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV91,g_f_Beijerinckiaceae_ASV91_ASV91
ASV92,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV92,g_f_Beijerinckiaceae_ASV92_ASV92
ASV93,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV93,g_f_Beijerinckiaceae_ASV93_ASV93
ASV94,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV94,g_f_Beijerinckiaceae_ASV94_ASV94
ASV95,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV95,g_f_Beijerinckiaceae_ASV95_ASV95
ASV96,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,f_Beijerinckiaceae_ASV96,g_f_Beijerinckiaceae_ASV96_ASV96
