FeatureID,Annotation_Confidence,Final_name,Final_formula,InChIKey,Final_Superclass,Final_Class,Final_Subclass,ClassyFire.level.5,NPC.pathway,NPC.superclass,NPC.class
19.332_315.19521_RP,L3,NA,C14H27N4O2P,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,NA,Fatty acids,Fatty Acids and Conjugates,Branched fatty acids
2.213_203.13888_RP,L3,NA,C9H18N2O3,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alkaloids,Ornithine alkaloids,Pyrrolidine alkaloids
2.218_128.07059_RP,L3,NA,C6H9NO2,NA,Organoheterocyclic compounds,Piperidines,Piperidinones,Piperidinediones,Alkaloids,Lysine alkaloids,Piperidine alkaloids
6.579_542.17194_RP,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.638_295.16521_RP,L3,NA,C15H22N2O4,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Amino acids and Peptides,Small peptides,Dipeptides
7.629_302.19617_RP,L3,NA,C15H27NO5,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,Fatty acids,Small peptides,Dipeptides
8.264_360.20167_RP,L3,NA,C17H29NO7,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,Polyketides,Linear polyketides,Open-chain polyketides
2.414_699.15903_RP,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.542_557.18276_RP,L3,NA,C22H24N10O8,NA,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,Carbohydrates,Nucleosides,Purine nucleos(t)ides
17.711_297.13327_RP,L3,NA,M,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,Terpenoids,Sesquiterpenoids,Macrolide lactones
5.921_203.13897_RP,L3,NA,C9H18N2O3,NA,NA,NA,NA,NA,NA,NA,NA
19.257_385.1852_RP,L3,NA,C19H28O8,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Terpenoids,Sesquiterpenoids,Drimane sesquiterpenoids
2.367_280.13907_RP,L3,NA,C11H21NO7,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids and Peptides,Small peptides,Dipeptides
6.148_497.19781_RP,L3,NA,C19H32N2O13,NA,NA,NA,NA,NA,NA,NA,NA
6.343_298.0782_RP,L3,NA,C10H11N5O6,NA,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,Carbohydrates,Nucleosides,Purine nucleos(t)ides
2.669_210.0608_RP,L3,NA,M,NA,Organoheterocyclic compounds,Pteridines and derivatives,NA,NA,Alkaloids,Pseudoalkaloids,pteridine alkaloids
2.183_816.27999_RP,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.541_518.17141_RP,L3,NA,C18H31NO16,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Carbohydrates,Saccharides,Disaccharides
2.054_201.12339_RP,L3,NA,C9H16N2O3,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alkaloids,Small peptides,Dipeptides
2.787_518.17167_RP,L3,NA,C18H31NO16,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Carbohydrates,Saccharides,Aminosugars
4.537_218.17504_RP,L3,NA,C11H23NO3,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids and Peptides,Small peptides,Dipeptides
2.052_232.16554_RP,L3,NA,C10H21N3O3,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids and Peptides,Small peptides,Dipeptides
6.496_243.06113_RP,L3,NA,C9H10N2O6,NA,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,NA,NA,Carbohydrates,Nucleosides,Pyrimidine nucleos(t)ides
3.945_127.03654_RP,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.501_323.19654_RP,L3,NA,C17H26N2O4,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alkaloids,Small peptides,Simple amide alkaloids
7.26_264.21694_RP,L3,NA,C13H29NO4,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,Fatty acids,Fatty Acids and Conjugates,Monoacylglycerols
6.136_340.19799_RP,L3,NA,M,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Amino acids and Peptides,Small peptides,Tripeptides
2.669_248.16044_RP,L3,NA,C10H21N3O4,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids and Peptides,Small peptides,Dipeptides
2.262_673.21627_RP,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.497_246.20634_RP,L3,NA,C13H27NO3,NA,Organoheterocyclic compounds,Oxazinanes,Morpholines,NA,Alkaloids,Lysine alkaloids,Piperidine alkaloids
